CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,FamilyNumber,IndividualNumber,Room,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Side_B,Side_P,Side_S,Corridor_A,Corridor_B,Corridor_C,Corridor_D,Corridor_E,Corridor_F,Corridor_G,Corridor_T,PC1,PC2,PC4,PC6,Cluster_0,Cluster_1,Cluster_2
0,43.0,0,0.0,0.0008941703974722,0.0,0.0008484568006974,0.0008617054249574,Sheratz Prighty,3282,3,120,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.7831756350567365,-1.856459186503279,0.074899782596577,-0.4256439852983284,0,1,0
1,23.0,0,0.0,0.0,0.0,0.0,0.0,Zaurion Tractive,8276,2,273,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,-1.5202397587345722,-0.3025384455979609,0.0057761672584611,0.0004165296825575,1,0,0
0,46.0,0,0.0007018720779091,0.000796859701899,0.0,0.0003412914184215,0.0007747289835151,Dia Cartez,1911,1,300,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1.384720959302951,-1.0513653434959158,0.0323637062785847,-0.5879634055737888,0,1,0
0,33.0,0,0.0,0.0008161604874865,0.0009392457637105,0.0002092618751201,0.0005897788242997,Rician Pollarkeeks,1808,1,346,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.8652086239671877,-0.8855492116371031,0.9211969512467922,-0.9544505945446018,0,1,0
0,24.0,0,0.0,0.0005013016442181,0.0027478168177846,0.0,0.0006419355291169,Stany Hamberterry,6995,1,1334,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.615242874767535,0.4405413632713225,2.046318120205291,-0.3962487812192074,0,0,1
0,14.0,0,0.0010969382736686,0.0008151911611456,0.0020320132477424,0.0,0.0,Son Mclainez,5608,1,1164,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.3587813148883712,0.9890769525339268,0.5480490934887035,-1.8852935321370916,0,0,1
0,55.0,0,0.0,0.0008720791534035,0.0,0.0,0.0010480993721963,Brance Guerson,3962,2,239,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.3960100116904643,-1.7039224589117292,1.0116469820690048,-0.5404246243005661,0,1,0
0,33.0,0,0.0,0.0004051976131996,0.0002962990491204,0.0006716953954933,0.0013395883758329,Ankark Crakenecal,1590,2,57,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.3079093985585144,-1.5011182810592425,0.5522500844088764,1.0378078759551856,0,1,0
1,53.0,0,0.0,0.0,0.0,0.0,0.0,Jihoton Fliblerolt,3323,2,110,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.907202659707966,-0.3482759933032703,0.1920112669682526,0.1327968072216789,1,0,0
0,40.0,0,0.0,0.000776646465625,0.0010250262990994,0.0015110800831781,0.0006818878340149,Porrimp Aillyber,5152,1,199,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2.284386837904917,-1.276348619645501,-0.085102023186014,-0.076408154734955,0,1,0
1,29.0,0,0.0,0.0,0.0,0.0,0.0,Heersh Burry,2329,1,472,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-1.397632338929282,-0.3116859551390589,0.0430231872003846,0.0268925851903827,1,0,0
0,35.0,0,0.001697227929878,0.0008824527491357,0.001757271833703,0.0,0.0,Elanie Langatein,5252,1,1008,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0040525287553972,1.1903221328513347,0.1611026250343948,-1.9577315981819952,0,0,1
0,33.0,0,0.0,0.0004904146899475,0.0027457400404101,0.0004385926492481,0.0,Therly Mcmahoney,7780,1,1614,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5423915034277405,0.6835766038202313,1.3087679580768097,-0.8464831713845936,0,0,1
1,3.0,0,0.0,0.0,0.0,0.0,0.0,Cird Fisty,4932,2,1005,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.928931158085708,-0.2720467471278299,-0.118380565881472,-0.0878369886768548,1,0,0
0,46.0,0,0.0,0.0,0.0,0.0013967822516803,0.0013790352667378,Alphah Neceriont,3487,1,39,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1.6475142704117238,-1.6014256472487387,-0.2181126264209641,2.387355575429695,0,1,0
0,67.0,0,0.0013875667371087,0.0003483216346471,0.0,0.0014700732219822,0.0012129139772067,Dyonevi Sageng,740,1,24,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.921043795089648,-0.8199279878725906,-1.0624488421760054,1.5163846892396629,0,1,0
0,42.0,0,0.0011619750583693,0.0009123762928724,0.0,0.0,0.0,Joyn Hartley,1997,1,315,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.5137464147737726,-0.2292610112348706,-0.4450173291185492,-1.9341829015607797,0,1,0
0,43.0,0,0.0,0.000931233293279,0.0,0.0,0.0012726048869181,Altar Freednal,4362,1,168,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.4595662743646651,-1.8695323926394851,1.088276949571758,-0.4639414372721311,0,1,0
0,19.0,0,0.0,0.0007155341140599,0.002664179373138,0.0001320295433014,0.0,Eriey Bartez,3566,1,573,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.257728275512288,0.5679686852112887,1.4850072237722454,-1.5475463320628329,0,0,1
0,52.0,0,0.0018111626576353,0.0007024591899961,0.0,0.0009004651136417,0.0,Joyn Guezaley,8410,1,1615,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.4853776515145702,0.1285403563146823,-1.6183525410876731,-1.0091624726787702,0,1,0
1,13.0,0,0.0,0.0,0.0,0.0,0.0,Cruis Gelte,3455,1,709,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-1.724585458410159,-0.2872925963629179,-0.0563021993115271,-0.0437102294971481,1,0,0
0,4.0,0,0.0,0.0,0.0,0.0,0.0,Janee Holliams,8638,2,1402,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.908496588118153,-0.2735713320513387,-0.1121727292244776,-0.0834243127588841,1,0,0
0,33.0,0,0.0025712257991198,0.0011069620633416,0.0013585200292166,0.0015259266542448,0.0009818853931139,Alasmon Idercaling,4254,1,136,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3.868626347105335,0.3632551719549096,-1.3123306111003643,-0.5843108741300549,0,1,0
1,7.0,0,0.0,0.0,0.0,0.0,0.0,Lavey Morez,5945,1,970,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1.8471928782154885,-0.278145086821865,-0.0935492192534941,-0.0701862850049721,1,0,0
1,51.0,0,0.0,0.0,0.0,0.0,0.0,Florey Micknightt,3271,1,532,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.9480717996430756,-0.3452268234562528,0.1795955936542635,0.1239714553857377,1,0,0
0,32.0,0,0.0025712257991198,0.0001350658710665,0.0,0.0,0.0,Tin Rochan,6731,1,1397,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.2895616948567742,1.4717712056163397,-1.5183708909667697,-0.3599382687398324,0,0,1
1,19.0,0,0.0,0.0,0.0,0.0,0.0,Loreen Mcclayton,591,1,86,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1.6019780386048303,-0.2964401059039709,-0.0190551793695601,-0.0172341739893241,1,0,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Jonaye Josesh,5767,1,936,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1.3158940590590626,-0.317784294833094,0.0678545338283627,0.0445432888622654,1,0,0
