CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,FamilyNumber,IndividualNumber,Room,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Side_B,Side_P,Side_S,Corridor_A,Corridor_B,Corridor_C,Corridor_D,Corridor_E,Corridor_F,Corridor_G,Corridor_T
0,43.0,0,0.0,0.0008941703974722439,0.0,0.0008484568006974379,0.0008617054249574723,Sheratz Prighty,3282,03,120,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,23.0,0,0.0,0.0,0.0,0.0,0.0,Zaurion Tractive,8276,02,273,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,46.0,0,0.0007018720779091739,0.000796859701899015,0.0,0.0003412914184215543,0.0007747289835151244,Dia Cartez,1911,01,300,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,33.0,0,0.0,0.0008161604874865055,0.0009392457637105246,0.0002092618751201175,0.0005897788242997196,Rician Pollarkeeks,1808,01,346,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,24.0,0,0.0,0.0005013016442181117,0.0027478168177846774,0.0,0.0006419355291169321,Stany Hamberterry,6995,01,1334,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,14.0,0,0.0010969382736686422,0.0008151911611456175,0.0020320132477424737,0.0,0.0,Son Mclainez,5608,01,1164,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,55.0,0,0.0,0.0008720791534035002,0.0,0.0,0.0010480993721963964,Brance Guerson,3962,02,239,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,33.0,0,0.0,0.00040519761319961054,0.0002962990491204583,0.0006716953954933125,0.0013395883758329208,Ankark Crakenecal,1590,02,57,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,53.0,0,0.0,0.0,0.0,0.0,0.0,Jihoton Fliblerolt,3323,02,110,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,40.0,0,0.0,0.0007766464656250079,0.0010250262990994792,0.0015110800831781724,0.0006818878340149572,Porrimp Aillyber,5152,01,199,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,29.0,0,0.0,0.0,0.0,0.0,0.0,Heersh Burry,2329,01,472,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,35.0,0,0.001697227929878041,0.0008824527491357357,0.0017572718337030818,0.0,0.0,Elanie Langatein,5252,01,1008,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,33.0,0,0.0,0.0004904146899475349,0.0027457400404101604,0.0004385926492481906,0.0,Therly Mcmahoney,7780,01,1614,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,3.0,0,0.0,0.0,0.0,0.0,0.0,Cird Fisty,4932,02,1005,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,46.0,0,0.0,0.0,0.0,0.0013967822516803012,0.0013790352667378575,Alphah Neceriont,3487,01,39,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,67.0,0,0.0013875667371087547,0.00034832163464711905,0.0,0.0014700732219822667,0.0012129139772067833,Dyonevi Sageng,0740,01,24,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
