HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,FamilyNumber,TotalExpenses,Corridor,Room,Side
Europa,0,TRAPPIST-1e,43.0,0,0.0,1440.0,0.0,85.0,150.0,Sheratz Prighty,3282,1675.0,B,120,S
Europa,1,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,Zaurion Tractive,8276,0.0,C,273,P
Earth,0,TRAPPIST-1e,46.0,0,8.0,652.0,0.0,5.0,90.0,Dia Cartez,1911,755.0,G,300,S
Earth,0,TRAPPIST-1e,33.0,0,0.0,763.0,8.0,2.0,30.0,Rician Pollarkeeks,1808,803.0,F,346,S
Earth,0,55 Cancri e,24.0,0,0.0,58.0,618.0,0.0,41.0,Stany Hamberterry,6995,717.0,F,1334,S
Earth,0,TRAPPIST-1e,14.0,0,30.0,757.0,115.0,0.0,0.0,Son Mclainez,5608,902.0,F,1164,P
Earth,0,PSO J318.5-22,55.0,0,0.0,1203.0,0.0,0.0,446.0,Brance Guerson,3962,1649.0,E,239,P
Europa,0,55 Cancri e,33.0,0,0.0,26.0,1.0,33.0,2439.0,Ankark Crakenecal,1590,2499.0,D,57,S
Europa,1,55 Cancri e,53.0,0,0.0,0.0,0.0,0.0,0.0,Jihoton Fliblerolt,3323,0.0,C,110,P
Europa,0,TRAPPIST-1e,40.0,0,0.0,553.0,10.0,2787.0,52.0,Porrimp Aillyber,5152,3402.0,B,199,S
Mars,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,Heersh Burry,2329,0.0,F,472,P
Earth,0,TRAPPIST-1e,35.0,0,202.0,1309.0,60.0,0.0,0.0,Elanie Langatein,5252,1571.0,F,1008,S
Earth,0,55 Cancri e,33.0,0,0.0,53.0,615.0,9.0,0.0,Therly Mcmahoney,7780,677.0,F,1614,P
Mars,1,55 Cancri e,3.0,0,0.0,0.0,0.0,0.0,0.0,Cird Fisty,4932,0.0,F,1005,P
Europa,0,55 Cancri e,46.0,0,0.0,0.0,0.0,1529.0,3069.0,Alphah Neceriont,3487,4598.0,A,39,S
Europa,0,55 Cancri e,67.0,0,76.0,16.0,0.0,2247.0,1166.0,Dyonevi Sageng,0740,3505.0,C,24,P
Earth,0,TRAPPIST-1e,42.0,0,37.0,1670.0,0.0,0.0,0.0,Joyn Hartley,1997,1707.0,G,315,S
Europa,0,TRAPPIST-1e,43.0,0,0.0,1947.0,0.0,0.0,1651.0,Altar Freednal,4362,3598.0,B,168,S
Earth,0,55 Cancri e,19.0,0,0.0,336.0,508.0,1.0,0.0,Eriey Bartez,3566,845.0,G,573,S
Earth,0,TRAPPIST-1e,52.0,0,289.0,302.0,0.0,112.0,0.0,Joyn Guezaley,8410,703.0,F,1615,S
Mars,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Cruis Gelte,3455,0.0,F,709,P
Earth,0,TRAPPIST-1e,4.0,0,0.0,0.0,0.0,0.0,0.0,Janee Holliams,8638,0.0,G,1402,P
Europa,0,55 Cancri e,33.0,0,5493.0,9401.0,23.0,3013.0,303.0,Alasmon Idercaling,4254,18233.0,B,136,P
Earth,1,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Lavey Morez,5945,0.0,G,970,S
Earth,1,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,Florey Micknightt,3271,0.0,G,532,P
Earth,0,TRAPPIST-1e,32.0,0,3135.0,2.0,0.0,0.0,0.0,Tin Rochan,6731,3137.0,F,1397,P
Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,Loreen Mcclayton,0591,0.0,G,86,S
Earth,1,PSO J318.5-22,33.0,0,0.0,0.0,0.0,0.0,0.0,Jonaye Josesh,5767,0.0,G,936,S
Earth,0,PSO J318.5-22,25.0,0,15.0,3.0,0.0,635.0,0.0,Lynnon Lunapperts,7517,653.0,F,1557,P
Earth,0,55 Cancri e,22.0,0,0.0,833.0,381.0,0.0,12.0,Belly Lerez,6681,1226.0,F,1280,S
Earth,0,TRAPPIST-1e,26.0,0,0.0,530.0,2.0,9.0,403.0,Elanie Hardson,0669,944.0,F,143,P
Europa,1,55 Cancri e,25.0,0,0.0,0.0,0.0,0.0,0.0,Bosonon Ainserfle,3412,0.0,B,107,P
Earth,0,TRAPPIST-1e,19.0,0,90.0,0.0,0.0,74.0,595.0,Felice Wheelez,3409,759.0,F,701,P
Earth,0,TRAPPIST-1e,38.0,0,115.0,125.0,0.0,202.0,0.0,Denne Moodsey,6588,442.0,G,1073,S
Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,Timyra Hanner,6020,0.0,G,974,P
Mars,0,TRAPPIST-1e,49.0,0,1624.0,0.0,68.0,314.1307461692205,0.0,Weaffs Kinie,2096,1692.0,F,412,S
Earth,0,PSO J318.5-22,52.0,0,0.0,652.0,9.0,0.0,0.0,Bonyan Onell,6411,661.0,F,1328,P
Earth,0,TRAPPIST-1e,27.0,0,0.0,0.0,1020.0,0.0,306.23469727212245,Fanna Kerristicey,3966,1020.0,G,649,P
Earth,0,55 Cancri e,42.0,0,0.0,0.0,0.0,685.0,21.0,Dandra Jacostaney,0365,706.0,G,51,S
Earth,0,TRAPPIST-1e,31.0,0,294.0,480.0,31.0,3.0,0.0,Troyra Kellson,6414,808.0,G,1040,S
Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,Alsafik Fouseding,2518,0.0,C,87,P
Earth,0,TRAPPIST-1e,17.0,0,0.0,432.0,0.0,3003.0,0.0,Deandy Moreman,3655,3435.0,F,690,S
Europa,1,55 Cancri e,15.0,0,0.0,0.0,0.0,0.0,0.0,Suhelik Opshosent,7667,0.0,B,251,P
Earth,1,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0,Karena Domington,5812,0.0,G,943,S
Earth,0,55 Cancri e,36.0,0,0.0,810.0,0.0,0.0,0.0,Elenna Raney,2397,810.0,G,387,S
Earth,0,TRAPPIST-1e,37.0,0,18.0,238.0,0.0,528.0,0.0,Dawne Mcfaddoxter,6718,784.0,G,1088,P
Earth,0,55 Cancri e,22.0,0,0.0,509.0,2.0,8.0,74.0,Elany Stantiagord,4770,593.0,F,900,S
Mars,0,55 Cancri e,46.0,0,1082.0,80.0,1177.0,0.0,323.0,Hion Knike,5351,2662.0,F,1026,S
Earth,0,TRAPPIST-1e,35.0,0,1.0,0.0,0.0,0.0,803.0,Tyrona Robbson,8976,804.0,F,1737,S
Earth,0,TRAPPIST-1e,24.0,0,698.0,0.0,51.0,2.0,4.0,Milyn Nguerrettye,4457,755.0,F,917,P
Earth,1,TRAPPIST-1e,60.0,0,0.0,0.0,0.0,0.0,0.0,Mael Chasey,4072,0.0,G,671,S
Europa,0,TRAPPIST-1e,30.0,0,0.0,760.0,234.0,2761.0,81.0,Alkeson Asticit,0926,3836.0,B,39,S
Europa,0,TRAPPIST-1e,29.0,1,0.0,920.0,0.0,2052.0,3687.0,Atrino Rewmid,4693,6659.0,B,186,S
Earth,1,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Lorian Nieldsond,8252,0.0,G,1341,P
Earth,0,PSO J318.5-22,41.0,0,0.0,0.0,687.0,0.0,65.0,Rhony Horndley,5855,752.0,G,949,P
Mars,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,Otlios Kra,7321,0.0,F,1518,P
Earth,1,PSO J318.5-22,14.0,0,0.0,0.0,0.0,0.0,0.0,Melica Saley,5072,0.0,G,817,P
Mars,0,TRAPPIST-1e,35.0,0,1134.0,113.0,52.0,0.0,0.0,Cus Ble,0408,1299.0,E,25,P
Earth,0,TRAPPIST-1e,31.0,0,0.0,243.0,0.0,314.1307461692205,0.0,Josey Mandez,6396,243.0,E,427,S
Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Ale Booneid,4596,0.0,G,751,S
Earth,0,TRAPPIST-1e,26.0,0,0.0,0.0,677.0,1.0,108.0,Juanie Hayerson,6925,786.0,G,1120,P
Earth,0,TRAPPIST-1e,32.0,0,0.0,9.0,11.0,784.0,63.0,Stany Hoopez,2727,867.0,F,525,S
Earth,0,TRAPPIST-1e,23.0,0,40.0,4.0,9.0,318.0,1413.0,Etha Simmonders,7707,1784.0,G,1237,P
Earth,0,PSO J318.5-22,24.0,0,154.0,7.0,241.0,213.0,453.0,Gabrin Savaraldez,4723,1068.0,F,888,S
Earth,0,55 Cancri e,16.0,0,43.0,3.0,750.0,0.0,0.0,Gaylah Acobson,6905,796.0,F,1322,S
Earth,0,TRAPPIST-1e,23.0,0,9.0,2.0,1.0,0.0,727.0,Leria Cofferson,9165,739.0,F,1771,S
Earth,1,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,Shawne Simonsents,9076,0.0,G,1461,S
Earth,0,TRAPPIST-1e,20.0,0,0.0,0.0,0.0,0.0,0.0,Monard Hammonton,4315,0.0,G,710,P
Earth,1,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,Allene Noeley,1433,0.0,G,219,S
Earth,0,TRAPPIST-1e,11.0,0,0.0,0.0,718.0,0.0,0.0,Noname Sweekstarks,0984,718.0,F,182,S
Earth,0,TRAPPIST-1e,42.0,0,6.0,0.0,0.0,800.0,3.0,Sall Hestes,9136,809.0,G,1471,S
Earth,1,PSO J318.5-22,47.0,0,0.0,0.0,0.0,0.0,0.0,Kelle Hickson,3352,0.0,G,547,P
Earth,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Armene Lewintos,6077,0.0,G,985,P
Earth,1,PSO J318.5-22,43.0,0,0.0,0.0,0.0,0.0,0.0,Dorice Morandry,8459,0.0,G,1355,S
Mars,0,55 Cancri e,31.0,0,1065.0,13.0,150.0,36.0,0.0,Vivers Jaff,3305,1264.0,D,106,P
Earth,0,TRAPPIST-1e,20.0,0,759.0,0.0,106.0,202.0,0.0,Chrisa Harverez,1025,1067.0,F,210,P
Earth,0,TRAPPIST-1e,63.0,0,0.0,216.0,0.0,594.0,0.0,Julin Fryan,1501,810.0,G,243,P
Earth,1,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,Race Fowles,0129,0.0,G,22,S
Europa,0,55 Cancri e,55.0,0,113.0,2492.0,41.0,0.0,2376.0,Vindem Eneurordry,0516,5022.0,A,6,S
Mars,0,TRAPPIST-1e,19.0,0,164.0,0.0,783.0,0.0,0.0,Bubbix Potte,0691,947.0,E,49,S
Earth,1,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,Nathy Gibbsonton,8383,0.0,G,1368,P
Earth,0,PSO J318.5-22,31.0,0,0.0,627.0,1.0,0.0,13.0,Delody Parsoney,3483,641.0,F,717,P
Europa,1,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0,Alphah Pumbody,6428,0.0,C,198,P
Earth,0,55 Cancri e,44.0,0,0.0,0.0,0.0,0.0,0.0,Murie Hinetthews,6324,0.0,G,1025,S
Europa,1,55 Cancri e,26.0,0,0.0,0.0,0.0,0.0,0.0,Minus Roforhauge,2995,0.0,B,94,P
Europa,0,TRAPPIST-1e,16.0,0,0.0,45.0,2.0,5183.0,170.0,Astab Fuelisent,0471,5400.0,B,22,P
Europa,1,TRAPPIST-1e,70.0,0,0.0,0.0,0.0,0.0,0.0,Gorab Distured,1452,0.0,C,53,P
Europa,0,TRAPPIST-1e,41.0,0,0.0,3216.0,0.0,433.0,517.0,Sterfik Pulgaly,8092,4166.0,D,238,S
Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Dow Chate,8542,0.0,E,544,P
Mars,0,TRAPPIST-1e,20.0,0,539.0,1269.0,38.0,0.0,0.0,Sceros Gin,1525,1846.0,F,299,P
Earth,0,TRAPPIST-1e,29.0,0,0.0,32.0,0.0,4517.0,0.0,Julies Winsley,5356,4549.0,E,340,S
Earth,1,PSO J318.5-22,28.0,0,0.0,0.0,0.0,0.0,0.0,Craine Hoodgers,7835,0.0,G,1270,S
Europa,1,TRAPPIST-1e,37.0,0,0.0,0.0,0.0,0.0,0.0,Tark Replic,1567,0.0,B,53,P
Earth,0,TRAPPIST-1e,18.0,0,22.0,0.0,681.0,0.0,1.0,Patsya Bonder,8216,704.0,G,1334,P
Earth,0,PSO J318.5-22,30.0,0,585.0,13.0,122.0,40.0,105.0,Guye Klindsey,1239,865.0,E,78,P
Mars,0,PSO J318.5-22,43.0,0,817.0,0.0,617.0,0.0,0.0,Ste Brity,5531,1434.0,F,1145,P
Earth,0,TRAPPIST-1e,56.0,0,0.0,779.0,12.0,3.0,35.0,Evenna Conney,4305,829.0,F,893,P
Europa,0,TRAPPIST-1e,37.0,0,0.0,3603.0,33.0,7113.0,1.0,Fomamak Chocaters,4446,10750.0,B,175,S
Europa,0,TRAPPIST-1e,23.0,0,2.0,6748.0,0.0,23.0,0.0,Batrix Ainserfle,3412,6773.0,B,107,P
Earth,0,TRAPPIST-1e,9.0,0,0.0,0.0,0.0,0.0,0.0,Chadie Morelly,8157,0.0,G,1313,S
Earth,0,TRAPPIST-1e,38.0,0,0.0,668.0,84.0,267.0,0.0,Wally Popelase,4303,1019.0,G,705,S
Earth,0,PSO J318.5-22,18.0,0,154.0,22.0,77.0,1053.0,0.0,Ianna Antoshipson,2860,1306.0,F,546,S
Earth,0,TRAPPIST-1e,18.0,0,1194.0,0.0,157.0,6.0,0.0,Billya Bowerson,0309,1357.0,F,60,S
Earth,0,TRAPPIST-1e,38.0,0,6.0,2324.0,0.0,0.0,0.0,Roydo Yorkland,5247,2330.0,G,848,P
Mars,0,TRAPPIST-1e,49.0,0,552.0,0.0,7.0,0.0,183.0,Almone Prine,5423,742.0,F,1116,P
Earth,1,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,Vick Jenson,6334,0.0,G,1028,S
Earth,1,PSO J318.5-22,24.0,0,0.0,0.0,0.0,0.0,0.0,Dennya Fielson,2758,0.0,G,446,P
Europa,0,TRAPPIST-1e,48.0,0,0.0,466.7652925531915,0.0,2851.0,1478.0,Majoram Tachor,5647,4329.0,C,178,P
Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Waring,1165,0.0,B,44,P
